t,f,pos,state,final_state,id
4620,0.05936,2,-1,lost,7
4630,0.06208,2,-1,lost,7
4640,0.06472,2,-1,lost,7
4650,0.0676,2,-1,lost,7
4660,0.0714,2,-1,lost,7
4670,0.07998,2,-1,lost,7
4680,0.08322,2,-1,lost,7
4690,0.08712,2,-1,lost,7
4700,0.09112,2,-1,lost,7
4710,0.09434,2,-1,lost,7
4720,0.09594,2,-1,lost,7
4730,0.09506,2,-1,lost,7
4740,0.09604,2,-1,lost,7
4750,0.09146,2,-1,lost,7
4760,0.09282,2,-1,lost,7
4770,0.10158,2,-1,lost,7
4780,0.10056,2,-1,lost,7
4790,0.10764,2,-1,lost,7
4800,0.10628,2,-1,lost,7
4810,0.10894,2,-1,lost,7
4820,0.11442,2,-1,lost,7
4830,0.12596,2,-1,lost,7
4840,0.1333,2,-1,lost,7
4850,0.14272,2,-1,lost,7
4860,0.15066,2,-1,lost,7
4870,0.15148,2,-1,lost,7
4880,0.16538,2,-1,lost,7
4890,0.16874,2,-1,lost,7
4900,0.16962,2,-1,lost,7
4910,0.17262,2,-1,lost,7
4920,0.17528,2,-1,lost,7
4930,0.1844,2,-1,lost,7
4940,0.17608,2,-1,lost,7
4950,0.16416,2,-1,lost,7
4960,0.1501,2,-1,lost,7
4970,0.12906,2,-1,lost,7
4980,0.11426,2,-1,lost,7
4990,0.09404,2,-1,lost,7
5000,0.08144,2,-1,lost,7
5010,0.06408,2,-1,lost,7
5020,0.0653,2,-1,lost,7
5030,0.05484,2,-1,lost,7
5040,0.0476,2,-1,lost,7
54650,0.04436,2,-1,fixed,8
54660,0.05756,2,-1,fixed,8
54670,0.07716,2,-1,fixed,8
54680,0.09252,2,-1,fixed,8
54690,0.11482,2,-1,fixed,8
54700,0.13188,2,-1,fixed,8
54710,0.14184,2,-1,fixed,8
54720,0.16056,2,-1,fixed,8
54730,0.17858,2,-1,fixed,8
54740,0.17892,2,-1,fixed,8
54750,0.19934,2,-1,fixed,8
54760,0.22134,2,-1,fixed,8
54770,0.23604,2,-1,fixed,8
54780,0.2597,2,-1,fixed,8
54790,0.2777,2,-1,fixed,8
54800,0.30222,2,-1,fixed,8
54810,0.3195,2,-1,fixed,8
54820,0.3486,2,-1,fixed,8
54830,0.38996,2,-1,fixed,8
54840,0.43194,2,-1,fixed,8
54850,0.49562,2,-1,fixed,8
54860,0.5811,2,-1,fixed,8
54870,0.67164,2,-1,fixed,8
54880,0.76438,2,-1,fixed,8
54890,0.8314,2,-1,fixed,8
54900,0.8674,2,-1,fixed,8
54910,0.89988,2,-1,fixed,8
54920,0.92076,2,-1,fixed,8
54930,0.93422,2,-1,fixed,8
54940,0.93124,2,-1,fixed,8
54950,0.93718,2,-1,fixed,8
54960,0.94074,2,-1,fixed,8
54970,0.94254,2,-1,fixed,8
54980,0.94972,2,-1,fixed,8
54990,0.94844,2,-1,fixed,8
55000,0.95284,2,-1,fixed,8
62760,0.04,2,-1,fixed,9
62770,0.05616,2,-1,fixed,9
62780,0.05018,2,-1,fixed,9
62790,0.07276,2,-1,fixed,9
62800,0.08316,2,-1,fixed,9
62810,0.09168,2,-1,fixed,9
62820,0.0901,2,-1,fixed,9
62830,0.07808,2,-1,fixed,9
62840,0.07286,2,-1,fixed,9
62850,0.07442,2,-1,fixed,9
62860,0.07782,2,-1,fixed,9
62870,0.082,2,-1,fixed,9
62880,0.09738,2,-1,fixed,9
62890,0.11398,2,-1,fixed,9
62900,0.13656,2,-1,fixed,9
62910,0.16398,2,-1,fixed,9
62920,0.18976,2,-1,fixed,9
62930,0.22432,2,-1,fixed,9
62940,0.24138,2,-1,fixed,9
62950,0.2644,2,-1,fixed,9
62960,0.2923,2,-1,fixed,9
62970,0.31044,2,-1,fixed,9
62980,0.33188,2,-1,fixed,9
62990,0.34306,2,-1,fixed,9
63000,0.36,2,-1,fixed,9
63010,0.37984,2,-1,fixed,9
63020,0.39236,2,-1,fixed,9
63030,0.4007,2,-1,fixed,9
63040,0.40826,2,-1,fixed,9
63050,0.42768,2,-1,fixed,9
63060,0.4361,2,-1,fixed,9
63070,0.43966,2,-1,fixed,9
63080,0.45784,2,-1,fixed,9
63090,0.4673,2,-1,fixed,9
63100,0.47454,2,-1,fixed,9
63110,0.46812,2,-1,fixed,9
63120,0.46522,2,-1,fixed,9
63130,0.46474,2,-1,fixed,9
63140,0.46958,2,-1,fixed,9
63150,0.48604,2,-1,fixed,9
63160,0.49452,2,-1,fixed,9
63170,0.49602,2,-1,fixed,9
63180,0.49244,2,-1,fixed,9
63190,0.494,2,-1,fixed,9
63200,0.50758,2,-1,fixed,9
63210,0.50532,2,-1,fixed,9
63220,0.49252,2,-1,fixed,9
63230,0.50004,2,-1,fixed,9
63240,0.50644,2,-1,fixed,9
63250,0.49614,2,-1,fixed,9
63260,0.50914,2,-1,fixed,9
63270,0.51238,2,-1,fixed,9
63280,0.51854,2,-1,fixed,9
63290,0.52718,2,-1,fixed,9
63300,0.52306,2,-1,fixed,9
63310,0.52174,2,-1,fixed,9
63320,0.52748,2,-1,fixed,9
63330,0.53298,2,-1,fixed,9
63340,0.52194,2,-1,fixed,9
63350,0.53788,2,-1,fixed,9
63360,0.53852,2,-1,fixed,9
63370,0.54678,2,-1,fixed,9
63380,0.55032,2,-1,fixed,9
63390,0.53832,2,-1,fixed,9
63400,0.53122,2,-1,fixed,9
63410,0.54606,2,-1,fixed,9
63420,0.54738,2,-1,fixed,9
63430,0.54866,2,-1,fixed,9
63440,0.55084,2,-1,fixed,9
63450,0.54932,2,-1,fixed,9
63460,0.5399,2,-1,fixed,9
63470,0.54504,2,-1,fixed,9
63480,0.5546,2,-1,fixed,9
63490,0.53942,2,-1,fixed,9
63500,0.52958,2,-1,fixed,9
63510,0.53678,2,-1,fixed,9
63520,0.53234,2,-1,fixed,9
63530,0.55386,2,-1,fixed,9
63540,0.56202,2,-1,fixed,9
63550,0.54614,2,-1,fixed,9
63560,0.54696,2,-1,fixed,9
63570,0.5491,2,-1,fixed,9
63580,0.54936,2,-1,fixed,9
63590,0.5498,2,-1,fixed,9
63600,0.5617,2,-1,fixed,9
63610,0.57292,2,-1,fixed,9
63620,0.57578,2,-1,fixed,9
63630,0.57894,2,-1,fixed,9
63640,0.5874,2,-1,fixed,9
63650,0.58656,2,-1,fixed,9
63660,0.59174,2,-1,fixed,9
63670,0.59928,2,-1,fixed,9
63680,0.60232,2,-1,fixed,9
63690,0.60772,2,-1,fixed,9
63700,0.6061,2,-1,fixed,9
63710,0.60764,2,-1,fixed,9
63720,0.61036,2,-1,fixed,9
63730,0.62072,2,-1,fixed,9
63740,0.61948,2,-1,fixed,9
63750,0.63318,2,-1,fixed,9
63760,0.63572,2,-1,fixed,9
63770,0.63738,2,-1,fixed,9
63780,0.64066,2,-1,fixed,9
63790,0.64984,2,-1,fixed,9
63800,0.64972,2,-1,fixed,9
63810,0.6566,2,-1,fixed,9
63820,0.66536,2,-1,fixed,9
63830,0.6714,2,-1,fixed,9
63840,0.67542,2,-1,fixed,9
63850,0.67928,2,-1,fixed,9
63860,0.68442,2,-1,fixed,9
63870,0.69434,2,-1,fixed,9
63880,0.69712,2,-1,fixed,9
63890,0.69556,2,-1,fixed,9
63900,0.68894,2,-1,fixed,9
63910,0.6837,2,-1,fixed,9
63920,0.67754,2,-1,fixed,9
63930,0.68104,2,-1,fixed,9
63940,0.68572,2,-1,fixed,9
63950,0.68238,2,-1,fixed,9
63960,0.69136,2,-1,fixed,9
63970,0.68836,2,-1,fixed,9
63980,0.67654,2,-1,fixed,9
63990,0.67986,2,-1,fixed,9
64000,0.67668,2,-1,fixed,9
64010,0.67756,2,-1,fixed,9
64020,0.67962,2,-1,fixed,9
64030,0.6905,2,-1,fixed,9
64040,0.71102,2,-1,fixed,9
64050,0.71348,2,-1,fixed,9
64060,0.7287,2,-1,fixed,9
64070,0.74488,2,-1,fixed,9
64080,0.75842,2,-1,fixed,9
64090,0.76744,2,-1,fixed,9
64100,0.78812,2,-1,fixed,9
64110,0.80568,2,-1,fixed,9
64120,0.81314,2,-1,fixed,9
64130,0.81408,2,-1,fixed,9
64140,0.82356,2,-1,fixed,9
64150,0.8331,2,-1,fixed,9
64160,0.84126,2,-1,fixed,9
64170,0.8437,2,-1,fixed,9
64180,0.8503,2,-1,fixed,9
64190,0.865078431372549,2,-1,fixed,9
64200,0.87242,2,-1,fixed,9
64210,0.86276,2,-1,fixed,9
64220,0.86548,2,-1,fixed,9
64230,0.86822,2,-1,fixed,9
64240,0.8732,2,-1,fixed,9
64250,0.8733,2,-1,fixed,9
64260,0.87114,2,-1,fixed,9
64270,0.87712,2,-1,fixed,9
64280,0.8841372549019608,2,-1,fixed,9
64290,0.88574,2,-1,fixed,9
64300,0.88948,2,-1,fixed,9
64310,0.89682,2,-1,fixed,9
64320,0.90556,2,-1,fixed,9
64330,0.9078,2,-1,fixed,9
64340,0.9141,2,-1,fixed,9
64350,0.91584,2,-1,fixed,9
64360,0.92234,2,-1,fixed,9
64370,0.92974,2,-1,fixed,9
64380,0.9351,2,-1,fixed,9
64390,0.94322,2,-1,fixed,9
64400,0.94858,2,-1,fixed,9
64410,0.95598,2,-1,fixed,9
69950,0.04588,3,1,lost,10
69960,0.05124,3,1,lost,10
69970,0.04828,3,1,lost,10
69980,0.0534,3,1,lost,10
69990,0.0549,3,1,lost,10
70000,0.06266,3,1,lost,10
70010,0.06714,3,1,lost,10
70020,0.06936,3,1,lost,10
70030,0.07614,3,1,lost,10
70040,0.08598,3,1,lost,10
70050,0.08982,3,1,lost,10
70060,0.09406,3,1,lost,10
70070,0.09268,3,1,lost,10
70080,0.09374,3,1,lost,10
70090,0.09422,3,1,lost,10
70100,0.09198,3,1,lost,10
70110,0.08242,3,1,lost,10
70120,0.07996,3,1,lost,10
70130,0.08116,3,1,lost,10
70140,0.0844,3,1,lost,10
70150,0.08822,3,1,lost,10
